,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
,0.523355336,0.213349578,0.000893665,0.184491737,0.102990109,0.082780154,0.02257467,0.013918479,0.155390536,0.031342974,0.169728811,0.213164519,0.023456371,0.286148049,0.668261779
,0.472338744,0.350037596,0.009110411,0.178914612,0.097146459,0.067275926,0.017645596,0.006082296,0.207020418,0.031549,0.198600622,0.241598948,0.033816878,0.169262255,0.660686131
,0.315190373,0.592575411,0.046222858,0.02948624,0.026295331,0.090743763,0.052614784,0.09625002,0.006026765,0.039929996,0.116754038,0.050068653,0.028499427,0.69270219,0.164704338
,0.138303159,0.074319463,0.016897649,0.316465944,0.021829112,0.562155781,0.237664292,0.442808953,0.034692663,0.498508989,0.067478666,0.226551519,0.010839525,0.006835378,0.009743747
,0.257672802,0.150280929,0.031901059,0.040385104,0.042859892,0.132519001,0.111453965,0.014529959,0.898134948,0.252158477,0.02123373,0.060986477,0.001723709,0.042709263,0.010621567
,0.100322212,0.059717593,0.066152489,0.536762569,0.413796684,0.236198592,0.157043635,0.324469184,0.011595003,0.009057014,0.334856278,0.470476301,0.053798277,0.017780658,0.003882389
,0.05029063,0.076778126,0.027713741,0.218214437,0.75543888,0.295977284,0.08551618,0.165001274,0.137350202,0.427959359,0.217356249,0.018362053,0.021828064,0.016659289,0.00350667
,,,,,,,,,,,,,,,
shopping_pt,15,9,1,11,15,15,7,15,11,14,11,8,1,12,11
record_type,14,12,2,9,14,13,15,11,15,13,9,7,2,13,13
day,12,13,3,15,8,4,1,5,9,12,14,15,8,14,12
location,13,15,14,8,5,1,9,1,7,9,12,11,14,15,14
group_size,6,1,6,14,11,11,12,10,8,7,13,12,13,2,3
homeowner,3,14,11,10,10,12,6,7,4,6,1,3,3,5,6
car_age,11,11,5,1,3,7,11,8,2,1,4,14,5,7,8
risk_factor,5,5,7,3,4,14,8,4,12,4,3,1,6,11,15
age_oldest,1,4,15,6,6,9,13,13,5,11,7,6,10,3,1
age_youngest,2,3,13,7,7,10,14,14,3,10,6,4,7,4,2
married_couple,4,2,8,13,12,8,10,9,14,8,8,10,9,1,4
C_previous,8,8,12,4,13,2,2,2,10,2,10,5,12,10,7
duration_previous,7,6,9,12,9,6,4,12,1,5,15,9,15,6,5
state_num,9,10,4,2,2,5,3,3,13,15,2,2,4,8,9
car_value_num,10,7,10,5,1,3,5,6,6,3,5,13,11,9,10
